answerKey,id,A,B,C,D,stem,Grade,subject,category
D,MEA_2013_5_13,{img:images/States2017/ME/ME_5thGr_2013-2014_11.png},{img:images/States2017/ME/ME_5thGr_2013-2014_12.png},{img:images/States2017/ME/ME_5thGr_2013-2014_13.png},{img:images/States2017/ME/ME_5thGr_2013-2014_14.png},The drawing below shows the front leg bones of a horse. {img:images/States2017/ME/ME_5thGr_2013-2014_10.png} Which fossil leg bones belonged to the most recent ancestor of the horse?,5,science,Test
C,MEA_2013_5_4,{img:images/States2017/ME/ME_5thGr_2013-2014_3.png},{img:images/States2017/ME/ME_5thGr_2013-2014_4.png},{img:images/States2017/ME/ME_5thGr_2013-2014_5.png},{img:images/States2017/ME/ME_5thGr_2013-2014_6.png},The diagram below shows the direction of a stationary ball after it is hit by another ball. {img:images/States2017/ME/ME_5thGr_2013-2014_2.png} Where should another ball hit Ball R so that Ball R moves along the dotted path?,5,science,Test
D,MEA_2014_5_1,stage W,stage X,stage Y,stage Z,The diagram below shows the life cycle of a tree. {img:images/States2017/ME/ME_5thGr_2014-2015_1.png} Which stage of the life cycle will most limit the amount of sunlight reaching other plants?,5,science,Test
D,MEA_2014_5_9,letter W,letter X,letter Y,letter Z,"The diagram below shows the locations and orbits of the Sun, Earth, and the Moon. {img:images/States2017/ME/ME_5thGr_2014-2015_4.png} Which letter represents the Sun?",5,science,Test
C,MEA_2016_5_11,"shark, tuna, sea turtle","frog, raccoon, garter snake","arctic fox, caribou, polar bear","penguin, hummingbird, ostrich",The diagram below sorts animals from two different environments. {img:images/States2017/ME/ME_5thGr_2016_6.png} Which group of three animals belongs in the empty section in the diagram?,5,science,Test
A,MEA_2016_5_14,water freezing inside a crack in the rock,rain washing over the rock,wind blowing sand in a crack in the rock,waves pounding against the rock,The picture below shows a large rock that has split into two pieces. {img:images/States2017/ME/ME_5thGr_2016_8.png} Which of the following most likely caused this rock to split?,5,science,Test
C,MEA_2016_5_16,a person kicking a soccer ball,a person plugging in a lamp,an apple falling toward the ground,two objects having the same electrical charge,The table below shows examples of different actions. {img:images/States2017/ME/ME_5thGr_2016_10.png} Which example best completes the table?,5,science,Test
B,MEA_2016_5_2,stage W,stage X,stage Y,stage Z,The diagram below shows stages in the life cycle of a bean plant. {img:images/States2017/ME/ME_5thGr_2016_1.png} During which stage of the life cycle does the plant start using sunlight to keep growing?,5,science,Test
A,MEA_2016_5_9,{img:images/States2017/ME/ME_5thGr_2016_2.png},{img:images/States2017/ME/ME_5thGr_2016_3.png},{img:images/States2017/ME/ME_5thGr_2016_4.png},{img:images/States2017/ME/ME_5thGr_2016_5.png},Which organism is made of a single cell?,5,science,Test
C,MSA_2012_5_18,1 and 3,2 and 4,1 and 4,2 and 3,Students studied the physical properties of the four metals listed in the table below. {img:images/States2017/MD/MD_5thGr_2012_5.png} The students investigated how magnesium reacted with other materials. {img:images/States2017/MD/MD_5thGr_2012_6.png} In which trials did the properties of magnesium change?,5,science,Test
B,MSA_2012_5_19,a dark gray and shiny appearance,the ability to conduct electricity and heat,chemical properties of magnesium only,chemical properties different from the individual metals,"Students studied the physical properties of the four metals listed in the table below. {img:images/States2017/MD/MD_5thGr_2012_5.png} The students mixed equal volumes of zinc, iron, and magnesium in a beaker. {img:images/States2017/MD/MD_5thGr_2012_7.png} The properties of the mixture are best described as having",5,science,Test
C,MSA_2012_5_20,2.0 grams,7.0 grams,11.0 grams,14.0 grams,Students studied the physical properties of the four metals listed in the table below. {img:images/States2017/MD/MD_5thGr_2012_5.png} The students mixed small pieces of the four metals on a plate. {img:images/States2017/MD/MD_5thGr_2012_8.png} The students pulled a magnet through the mixture several times. The magnet attracted and removed small pieces of some metals from the plate. The mass of the metals remaining on the plate was closest to,5,science,Test
A,MSA_2012_5_3,"opened the circuit, stopping the electrical current","closed the circuit, stopping the electrical current",reversed the charge of each end of the batteries,stopped the batteries from touching each other,"A student pushed the on/off button of a flashlight to the ""on"" position and noticed that the light bulb glowed. After 15 minutes, the student noticed that the clear cover of the flashlight was warm. The student pushed the on/off button of the flashlight to the ""off"" position and the light bulb no longer glowed. After 15 minutes, the clear cover was cool. The student took the flashlight apart to determine its parts, as shown below. {img:images/States2017/MD/MD_5thGr_2012_2.png} When a student turned the on/off button of the flashlight to the ""off"" position, the light bulb did not glow. The most likely reason that the light bulb did not glow was because moving the on/off button to the ""off"" position",5,science,Test
A,MSA_2012_5_32,{img:images/States2017/MD/MD_5thGr_2012_11.png},{img:images/States2017/MD/MD_5thGr_2012_12.png},{img:images/States2017/MD/MD_5thGr_2012_13.png},{img:images/States2017/MD/MD_5thGr_2012_14.png},Which diagram best represents the reflection of light rays from a plane mirror?,5,science,Test
D,MSA_2012_5_37,a decrease in river water pollution,a decrease in gases that warm the air,an increase in river water temperatures,an increase in the amount of air pollution,"Two students researched how coal, a nonrenewable resource, is used. The students learned that most coal is burned to produce electricity. Some coal is used to make medicines, paint, and steel. The students recorded a list of some of the effects of burning coal. {img:images/States2017/MD/MD_5thGr_2012_19.png} What negative consequence would most likely occur from burning coal?",5,science,Test
C,MSA_2012_5_39,fertilize crops,fuel automobiles,generate energy,heat the atmosphere,"Two students researched how coal, a nonrenewable resource, is used. The students learned that most coal is burned to produce electricity. Some coal is used to make medicines, paint, and steel. The students recorded a list of some of the effects of burning coal. {img:images/States2017/MD/MD_5thGr_2012_19.png} The most common use of coal is to",5,science,Test
C,MSA_2012_5_4,The batteries were placed in the wrong direction.,The copper wire blocked the electrical current.,The stored energy in the batteries decreased.,The electrical circuit was open.,"A student pushed the on/off button of a flashlight to the ""on"" position and noticed that the light bulb glowed. After 15 minutes, the student noticed that the clear cover of the flashlight was warm. The student pushed the on/off button of the flashlight to the ""off"" position and the light bulb no longer glowed. After 15 minutes, the clear cover was cool. The student took the flashlight apart to determine its parts, as shown below. {img:images/States2017/MD/MD_5thGr_2012_2.png} The student put the pieces of the flashlight together and moved the on/off switch to the ""on"" position. The flashlight bulb glowed dimly. What is the most likely reason that the flashlight bulb glowed dimly?",5,science,Test
D,MSA_2013_5_10,Gravity acts on the ball half as much.,Gravity acts on the ball twice as much.,The ball travels half as high in 3 seconds.,The ball travels twice as high in 3 seconds.,"A tennis player hit a tennis ball into the air, giving the ball a speed of 30 meters per second. The data table below shows the time the ball was in the air and the speed of the ball as it went up and down. {img:images/States2017/MD/MD_5thGr_2013_5.png} The student hits the ball a second time, but twice as hard. Which statement best describes what happens to the ball?",5,science,Test
D,MSA_2013_5_16,The cup was made of plastic.,The paper towel has a certain mass.,The paper towel has a certain volume.,The cup contained air with the paper towel.,"A student crumpled a dry paper towel and taped it to the bottom of the inside of a cup. Then, the student pushed the cup upside down into a pan of water. When the student removed the cup from the water, the paper towel was still dry. {img:images/States2017/MD/MD_5thGr_2013_8.png} Which statement best explains why the paper towel remained dry?",5,science,Test
D,MSA_2013_5_22,the giant oyster moved onto the land around the creek,a storm moved the fossil from the ocean to the creek,the water flowed from the ocean to the creek,the land around the creek was under water,Students observed a creek during a field trip to a local nature center. A nature center guide explained that natural processes had formed the creek and reshaped the surface of Earth along the creek. {img:images/States2017/MD/MD_5thGr_2013_10.png} The students observed a fossil in a layer of rock by the creek. The fossil was the shell of a giant oyster that once lived in salt water. {img:images/States2017/MD/MD_5thGr_2013_12.png} The giant oyster fossil was found near the creek because many years ago,5,science,Test
D,MSA_2013_5_24,The crabs swim very fast.,The crabs reproduce slowly.,The crabs live for many years.,The crabs eat large amounts of shrimp.\,The Chinese mitten crab is a species of crab brought to the United States accidentally. The crabs bother watermen by tearing nets. {img:images/States2017/MD/MD_5thGr_2013_13.png} What other behavior of the Chinese mitten crab also causes trouble for local watermen?,5,science,Test
B,MSA_2013_5_27,increasing growth toward the ocean,decreasing the habitat of native plants,increasing habitats for beach organisms,decreasing the amount of sand blowing away,"Invasion of the Vines: A Fine Solution Creates a Vine Problem {img:images/States2017/MD/MD_5thGr_2013_20.png} Along the beaches of North Carolina and South Carolina, a harmless-looking vine is stirring up a surprising amount of trouble. At first glance, beach vitex does not appear to be a problematic plant. It has grayish green leaves all year round and lush purple flowers in the spring. It smells spicy. This climbing plant used to be welcome wherever it grew. In the mid-1980s, scientists brought beach vitex, Vitex rotundifolia, from Korea to the United States. They hoped the plant would keep beach sand from blowing away. Beach vitex, which grows wild on ocean beaches in Korea, seemed like the perfect plant for the Carolina beaches. People thought its sprawling roots would stabilize the sand, and it didn't mind salty water, or even being dried out completely. Beach vitex was for sale in greenhouses throughout the Carolinas, so that people from the area could buy it and plant it themselves. But the alarming trouble with beach vitex is that it grows too quickly, at least in the Carolinas. It tends to crowd out the slower-growing native plants. A beach vitex plant just sprouting at the beginning of summer is a sprawling plant by summer's end. The vines send out long runners, which are stems of the plant that snake out along the ground. These runners root into the sand, forming a dense mat of branches that extends outward in all directions. Scientists are alarmed because they would like the natural plants that have grown on the Carolina coasts to continue to be there for years to come. The way plants and animals work together is very complicated. When native plants grow well, the birds, insects, and other animals that have learned to get along with these plants can continue to build their homes, raise young, and prosper. The people who brought the beach vitex to the Carolinas thought they were solving a problem. But they did not know that beach vitex would grow so well in its new environment. Even today, people are not entirely certain that the plant keeps the sand in place, as it does in Korea. What they are sure of is that beach vitex is killing other plants. Planting beach vitex has a negative consequence on beaches by",5,science,Test
C,MSA_2013_5_28,spicy smell,purple flowers,ability to grow in salty soil,ability to grow leaves all year,"Invasion of the Vines: A Fine Solution Creates a Vine Problem {img:images/States2017/MD/MD_5thGr_2013_20.png} Along the beaches of North Carolina and South Carolina, a harmless-looking vine is stirring up a surprising amount of trouble. At first glance, beach vitex does not appear to be a problematic plant. It has grayish green leaves all year round and lush purple flowers in the spring. It smells spicy. This climbing plant used to be welcome wherever it grew. In the mid-1980s, scientists brought beach vitex, Vitex rotundifolia, from Korea to the United States. They hoped the plant would keep beach sand from blowing away. Beach vitex, which grows wild on ocean beaches in Korea, seemed like the perfect plant for the Carolina beaches. People thought its sprawling roots would stabilize the sand, and it didn't mind salty water, or even being dried out completely. Beach vitex was for sale in greenhouses throughout the Carolinas, so that people from the area could buy it and plant it themselves. But the alarming trouble with beach vitex is that it grows too quickly, at least in the Carolinas. It tends to crowd out the slower-growing native plants. A beach vitex plant just sprouting at the beginning of summer is a sprawling plant by summer's end. The vines send out long runners, which are stems of the plant that snake out along the ground. These runners root into the sand, forming a dense mat of branches that extends outward in all directions. Scientists are alarmed because they would like the natural plants that have grown on the Carolina coasts to continue to be there for years to come. The way plants and animals work together is very complicated. When native plants grow well, the birds, insects, and other animals that have learned to get along with these plants can continue to build their homes, raise young, and prosper. The people who brought the beach vitex to the Carolinas thought they were solving a problem. But they did not know that beach vitex would grow so well in its new environment. Even today, people are not entirely certain that the plant keeps the sand in place, as it does in Korea. What they are sure of is that beach vitex is killing other plants. Which feature of beach vitex most likely enables it to survive and grow near the ocean?",5,science,Test
C,MSA_2013_5_29,summer temperature,thunderstorms,sand erosion,water quality,"Invasion of the Vines: A Fine Solution Creates a Vine Problem {img:images/States2017/MD/MD_5thGr_2013_20.png} Along the beaches of North Carolina and South Carolina, a harmless-looking vine is stirring up a surprising amount of trouble. At first glance, beach vitex does not appear to be a problematic plant. It has grayish green leaves all year round and lush purple flowers in the spring. It smells spicy. This climbing plant used to be welcome wherever it grew. In the mid-1980s, scientists brought beach vitex, Vitex rotundifolia, from Korea to the United States. They hoped the plant would keep beach sand from blowing away. Beach vitex, which grows wild on ocean beaches in Korea, seemed like the perfect plant for the Carolina beaches. People thought its sprawling roots would stabilize the sand, and it didn't mind salty water, or even being dried out completely. Beach vitex was for sale in greenhouses throughout the Carolinas, so that people from the area could buy it and plant it themselves. But the alarming trouble with beach vitex is that it grows too quickly, at least in the Carolinas. It tends to crowd out the slower-growing native plants. A beach vitex plant just sprouting at the beginning of summer is a sprawling plant by summer's end. The vines send out long runners, which are stems of the plant that snake out along the ground. These runners root into the sand, forming a dense mat of branches that extends outward in all directions. Scientists are alarmed because they would like the natural plants that have grown on the Carolina coasts to continue to be there for years to come. The way plants and animals work together is very complicated. When native plants grow well, the birds, insects, and other animals that have learned to get along with these plants can continue to build their homes, raise young, and prosper. The people who brought the beach vitex to the Carolinas thought they were solving a problem. But they did not know that beach vitex would grow so well in its new environment. Even today, people are not entirely certain that the plant keeps the sand in place, as it does in Korea. What they are sure of is that beach vitex is killing other plants. The environmental factor that most likely caused people to plant beach vitex along the coast of the Carolinas was",5,science,Test
D,MSA_2013_5_35,color and luster,color and streak,hardness and luster,streak and hardness,A student used the information from the table below to identify an unknown mineral. {img:images/States2017/MD/MD_5thGr_2013_23.png} Which properties would best determine the identity of the mineral?,5,science,Test
D,MSA_2013_5_37,condenses -> freezes -> evaporates,freezes -> precipitates -> evaporates,precipitates -> freezes -> condenses,evaporates -> condenses -> freezes,"Snowflake Chemistry Environmental factors determine the shape of a snowflake. Three environmental factors are dirt particles in the air, the temperature of the air, and the height of a snowflake in the atmosphere when the snowflake forms. Evidence shows that when the air around a snowflake is very cold, the tips of the snowflake are very sharp. {img:images/States2017/MD/MD_5thGr_2013_24.png} To become a snowflake, a drop of water in a lake",5,science,Test
A,MSA_2013_5_38,stores freshwater,keeps the ground cold,may form when clouds are not present,melts when temperatures are above 0°C,"Snowflake Chemistry Environmental factors determine the shape of a snowflake. Three environmental factors are dirt particles in the air, the temperature of the air, and the height of a snowflake in the atmosphere when the snowflake forms. Evidence shows that when the air around a snowflake is very cold, the tips of the snowflake are very sharp. {img:images/States2017/MD/MD_5thGr_2013_24.png} Snow is an important part of the water cycle on Earth because snow",5,science,Test
D,MSA_2013_5_39,is attracted by magnets,conducts electricity,conducts heat,is harder,"Snowflake Chemistry Environmental factors determine the shape of a snowflake. Three environmental factors are dirt particles in the air, the temperature of the air, and the height of a snowflake in the atmosphere when the snowflake forms. Evidence shows that when the air around a snowflake is very cold, the tips of the snowflake are very sharp. {img:images/States2017/MD/MD_5thGr_2013_24.png} Compared with a handful of snow, an ice cube",5,science,Test
C,MSA_2013_5_45,The sun rises earliest in Eastern Maryland; the sun sets latest in Eastern Maryland.,The sun rises earliest in Western Maryland; the sun sets latest in Eastern Maryland.,The sun rises earliest in Eastern Maryland; the sun sets latest in Western Maryland.,The sun rises earliest in Western Maryland; the sun sets latest in Western Maryland.,The times the sun rises and sets on the same day in three regions of Maryland are recorded in the data table below. {img:images/States2017/MD/MD_5thGr_2013_27.png} Which of the following statements is an accurate conclusion based on the information in the data table?,5,science,Test
B,MSA_2013_5_8,upward,downward,toward the left,toward the right,"A tennis player hit a tennis ball into the air, giving the ball a speed of 30 meters per second. The data table below shows the time the ball was in the air and the speed of the ball as it went up and down. {img:images/States2017/MD/MD_5thGr_2013_5.png} In what direction does the force of gravity act on the ball?",5,science,Test
C,MSA_2013_5_9,It increases.,It decreases.,"It decreases, then increases.","It increases, then decreases.","A tennis player hit a tennis ball into the air, giving the ball a speed of 30 meters per second. The data table below shows the time the ball was in the air and the speed of the ball as it went up and down. {img:images/States2017/MD/MD_5thGr_2013_5.png} What best describes the speed of the ball from 0 seconds to 6 seconds?",5,science,Test
B,MSA_2015_5_1,The car traveled 10 meters east.,The car traveled 40 meters west.,The car traveled 40 meters east.,The car traveled 10 meters west.,The car shown in the diagram traveled from the start line to the finish line. Each mark on the number line represents 10 meters. {img:images/States2017/MD/MD_5thGr_2015_1.png} How did the position of the car change from the start line to the finish line?,5,science,Test
D,MSA_2015_5_10,cells take in different amounts of carbon dioxide,cells absorb nutrients and sunlight,cells grow and repair themselves,cells perform different roles,A student observed single-celled organisms and cells found in multicellular organisms. The student drew the diagrams below. {img:images/States2017/MD/MD_5thGr_2015_6.png} One reason cells in multicellular organisms vary in appearance is,5,science,Test
B,MSA_2015_5_11,consumers,decomposers,producers,scavengers,A student observed single-celled organisms and cells found in multicellular organisms. The student drew the diagrams below. {img:images/States2017/MD/MD_5thGr_2015_6.png} Bacteria that break down dead materials are,5,science,Test
B,MSA_2015_5_21,foam,metal,paper,plastic,"A teacher placed four types of plates on four beakers of very hot water. The teacher then placed one small, equal-sized piece of butter on each plate. The students measured the amount of time each piece of butter took to melt. {img:images/States2017/MD/MD_5thGr_2015_11.png} On which plate did the piece of butter most likely melt fastest?",5,science,Test
B,MSA_2015_5_22,strength,hardness,ability to conduct electricity,ability to be attracted by a magnet,"Model Cars Students used a model car kit to construct different model cars. {img:images/States2017/MD/MD_5thGr_2015_12.png} The students separated some of the model car parts into two groups according to a physical property, as shown in the diagram below. {img:images/States2017/MD/MD_5thGr_2015_12.png} The physical property the students most likely used to separate the model car parts was",5,science,Test
A,MSA_2015_5_23,a definite amount of mass,an equal amount of mass,the same hardness,the same volume,Model Cars Students used a model car kit to construct different model cars. {img:images/States2017/MD/MD_5thGr_2015_12.png} All of the pieces in the model car kit occupy space and have,5,science,Test
C,MSA_2015_5_25,animal bones left minerals in soil,animal teeth dissolved in the ocean,sea shells were covered by sediments,sea shells were broken down into smaller pieces,"The beaches along the face of Calvert Cliffs in southern Maryland attract many fossil hunters each year. At high tide the beach is covered with water, but at low tide fossil hunters can search the face of the cliff and often discover fossils. Fossils at Calvert Cliffs {img:images/States2017/MD/MD_5thGr_2015_13.png} Fossils found at Calvert Cliffs were formed millions of years ago when",5,science,Test
B,MSA_2015_5_26,a glacier,an ocean,a mountain,a rainforest,"The beaches along the face of Calvert Cliffs in southern Maryland attract many fossil hunters each year. At high tide the beach is covered with water, but at low tide fossil hunters can search the face of the cliff and often discover fossils. Fossils at Calvert Cliffs {img:images/States2017/MD/MD_5thGr_2015_13.png} The discovery of a whale's tooth high on one of the Calvert Cliffs indicates that, millions of years ago, the cliffs were most likely covered by",5,science,Test
C,MSA_2015_5_27,rice,soybean,cotton,wheat,Irrigation is the delivery of water by some way other than nature. Farmers often irrigate crops when rainfall does not provide enough water for the crops to survive. {img:images/States2017/MD/MD_5thGr_2015_14.png} Which irrigated crop occupies the greatest area?,5,science,Test
D,MSA_2015_5_28,protects the turtles from predators,protects the sand along the shoreline,destroys the beach near the turtle eggs,blocks the beach where the turtle eggs hatch,"Turtle Travels Out From the Sand A clutch of eggs lies hidden more than two feet below a sandy beach. Inside each one, there may be a baby green sea turtle. From the Sand to Sea The hatchling's journey to the water is a race for survival. She is no bigger than a walnut. Crabs and night herons snatch up some of the other hatchlings on the beach. This young turtle makes it to the water. To the Open Ocean The turtle's journey through the open ocean may last several years. Scientists think green sea turtle hatchlings float with mats of sargassum. This seaweed provides a hiding place as well as food. The hatchling may snack on shrimp, small jellyfish and snails that drift in and around the seaweed. Unfortunately, the sea also contains plastic and trash that people throw away. Eating them could be a deadly mistake for the turtle. There are many other dangers in the sea, too. Predators such as sharks swim below the small turtle. Large birds fly above. Growing Up Green The sea turtle's new home is the warm waters along Florida's east coast. With her larger shell, she is safer in the near-shore waters than she was as a hatchling. Eating seagrass and algae has turned her body fat a green color. In fact, this is how green sea turtles get their name! Return Now the adult turtle sets out on a new adventure. She must return to the beach where she was born to lay her eggs. Scientists are still learning how sea turtles find their way through the ocean. They think the turtles may sense changes in Earth's magnetic field. That may help the turtles create a kind of mental map. The Next Generation Out of the water, she struggles to move on land. She reaches a place where high tides will not wash away her eggs. Then she starts to dig. She lays more than 100 leathery white eggs. She packs sand over them. Then she uses her flippers to toss sand to cover her nest. After about two months in the nests, new green sea turtles will hatch. They will begin their own journeys. Seawalls are sometimes built along shorelines. {img:images/States2017/MD/MD_5thGr_2015_15.png} Seawalls negatively affect the ability of turtles to survive because a seawall",5,science,Test
D,MSA_2015_5_33,{img:images/States2017/MD/MD_5thGr_2015_18.png},{img:images/States2017/MD/MD_5thGr_2015_19.png},{img:images/States2017/MD/MD_5thGr_2015_20.png},{img:images/States2017/MD/MD_5thGr_2015_21.png},A pony is standing directly in front of a plane mirror. Which drawing best shows the image of the pony in the plane mirror?,5,science,Test
A,MSA_2015_5_4,separated into different substances,crushed into smaller pieces,sorted into different colors,formed into a large block,"A block of concrete can be broken into smaller pieces, then into the material from which concrete is made, as shown in the diagram below. {img:images/States2017/MD/MD_5thGr_2015_4.png} Concrete is a mixture because it can be",5,science,Test
C,MSA_2015_5_45,P and Q,Q and R,R and S,S and T,A car traveled a total distance of 100 meters from Point P to Point T. {img:images/States2017/MD/MD_5thGr_2015_25.png} The car traveled the farthest between which two points?,5,science,Test
B,MSA_2015_5_5,dry,hot,rainy,windy,"Bactrian camels live in the deserts of Asia and have many traits that allow them to survive in this environment. {img:images/States2017/MD/MD_5thGr_2015_5.png} Information about Bactrian camels is listed below. • Mammals • Plant eaters • Two humps • Long necks • Thick, shaggy coats • Nostrils that close • Wide, toed hooves • Bushy eyebrows • Live in deserts that are cold in the winter and hot in the summer Camels shed their thick, shaggy coats in the spring. This ability helps camels survive in an environment that is",5,science,Test
B,MSA_2015_5_6,cells,energy,traits,warmth,"Bactrian camels live in the deserts of Asia and have many traits that allow them to survive in this environment. {img:images/States2017/MD/MD_5thGr_2015_5.png} Information about Bactrian camels is listed below. • Mammals • Plant eaters • Two humps • Long necks • Thick, shaggy coats • Nostrils that close • Wide, toed hooves • Bushy eyebrows • Live in deserts that are cold in the winter and hot in the summer Some of the food that Bactrian camels eat is stored as fat in the two humps. The stored fat is used later as a source of",5,science,Test
C,MSA_2015_5_9,provide oxygen,improve balance,repair damaged cells,protect cells from diseases,A student observed single-celled organisms and cells found in multicellular organisms. The student drew the diagrams below. {img:images/States2017/MD/MD_5thGr_2015_6.png} Food taken in by animals may be directly used to,5,science,Test
D,TIMSS_1995_4_pg12,{img:images/States2017/TIMSS/TIMS_4thGr_1995_3.png},{img:images/States2017/TIMSS/TIMS_4thGr_1995_4.png},{img:images/States2017/TIMSS/TIMS_4thGr_1995_5.png},{img:images/States2017/TIMSS/TIMS_4thGr_1995_6.png},"The picture shows a block of wood floating in freshwater. {img:images/States2017/TIMSS/TIMS_4thGr_1995_2.png} If this block were placed in salt water from the ocean, which picture shows what would happen?",4,science,Test
E,TIMSS_1995_4_pg13,a forest,a meadow,a cornfield,a desert,This is a drawing of a bird's foot. {img:images/States2017/TIMSS/TIMS_4thGr_1995_7.png} Where would you be MOST likely to find such a bird?,4,science,Test
A,TIMSS_1995_4_pg17,X,Y,Z,All three boxes have the same mass.,"Which of the boxes X, Y, or Z has the LEAST mass? {img:images/States2017/TIMSS/TIMS_4thGr_1995_9.png}",4,science,Test
B,TIMSS_1995_4_pg20,"2, 1, 3, 4","2, 4, 1, 3","3, 2, 1, 4","4, 2, 3, 1",The pictures show a bean plant at different stages of growth. (The pictures are not drawn on the same scale.) {img:images/States2017/TIMSS/TIMS_4thGr_1995_14.png} In what order do these stages take place?,4,science,Test
A,TIMSS_1995_4_pg30,{img:images/States2017/TIMSS/TIMS_4thGr_1995_26.png},{img:images/States2017/TIMSS/TIMS_4thGr_1995_27.png},{img:images/States2017/TIMSS/TIMS_4thGr_1995_28.png},{img:images/States2017/TIMSS/TIMS_4thGr_1995_29.png},Which picture shows plants commonly found in a desert?,4,science,Test
C,TIMSS_1995_4_pg34,A only,B only,C only,A and B only,Each of the three magnets shown has been dipped into the substance below it. Which of the substances could be coffee? {img:images/States2017/TIMSS/TIMS_4thGr_1995_32.png},4,science,Test
D,TIMSS_1995_4_pg55,Both of them can hear equally clearly.,Neither of them can hear.,Only Tom can hear clearly.,Only Dick can hear clearly.,The picture shows Dick and his friends playing with a string-telephone. Sally is speaking. Dick and Tom are trying to listen. Which of them can hear her speak? {img:images/States2017/TIMSS/TIMS_4thGr_1995_45.png},4,science,Test
D,TIMSS_2003_4_pg22,Part A,Part B,Part C,Part D,Which part of the plant takes in the MOST water? {img:images/States2017/TIMSS/TIMSS_2003_4thGr_8.png},4,science,Test
C,TIMSS_2003_4_pg26,Layer A,Layer B,Layer C,All three layers are the same temperature.,The picture shows the three main layers of the Earth. {img:images/States2017/TIMSS/TIMSS_2003_4thGr_14.png} Where is it the hottest?,4,science,Test
D,TIMSS_2003_4_pg38,1 only,3 only,1 and 2,3 and 4,{img:images/States2017/TIMSS/TIMSS_2003_4thGr_16.png} The teeth that people use for grinding their food are labeled in the picture as,4,science,Test
B,TIMSS_2003_4_pg54,{img:images/States2017/TIMSS/TIMSS_2003_4thGr_30.png},{img:images/States2017/TIMSS/TIMSS_2003_4thGr_31.png},{img:images/States2017/TIMSS/TIMSS_2003_4thGr_32.png},{img:images/States2017/TIMSS/TIMSS_2003_4thGr_33.png},Lily found four rocks of the same material in a riverbed. They had different shapes and sizes. Which rock has most likely been carried the farthest down the river?,4,science,Test
A,TIMSS_2003_4_pg6,Great Ocean,Mountain Pond,Old River,Small Streams,Look at this diagram. {img:images/States2017/TIMSS/TIMSS_2003_4thGr_1.png} The saltiest water is in the,4,science,Test
C,TIMSS_2003_4_pg61,{img:images/States2017/TIMSS/TIMSS_2003_4thGr_35.png},{img:images/States2017/TIMSS/TIMSS_2003_4thGr_36.png},{img:images/States2017/TIMSS/TIMSS_2003_4thGr_37.png},{img:images/States2017/TIMSS/TIMSS_2003_4thGr_38.png},The pictures show a light bulb connected to a battery. Which bulb will light?,4,science,Test
D,TIMSS_2003_4_pg68,Town A,Town B,Town C,Town D,{img:images/States2017/TIMSS/TIMSS_2003_4thGr_41.png} The table above shows some weather information for four different towns during a 24-hour period. In which town did it most likely snow?,4,science,Test
C,TIMSS_2003_4_pg73,sun,fish,duckweed plant,heron,{img:images/States2017/TIMSS/TIMSS_2003_4thGr_44.png} The picture above shows a pond and some of the organisms that live in and around the pond. They all depend on each other for food. The tadpole most likely gets its food from which of the following?,4,science,Test
C,TIMSS_2007_4_pg102,{img:images/States2017/TIMSS/TIMSS_4thGr_2007_42.png},{img:images/States2017/TIMSS/TIMSS_4thGr_2007_43.png},{img:images/States2017/TIMSS/TIMSS_4thGr_2007_44.png},{img:images/States2017/TIMSS/TIMSS_4thGr_2007_45.png},Seaweed that grows in the ocean is not often found growing in rock pools - holes in the rocks that fill with ocean water at high tide. Four students want to know if seaweed does not grow in rock pools because the water is too salty. They each set up an experiment to test this idea. The pictures below show their experimental set-ups. Which set-up is best for testing the idea that seaweed cannot grow in very salty ocean water?,4,science,Test
C,TIMSS_2007_4_pg103,{img:images/States2017/TIMSS/TIMSS_4thGr_2007_46.png},{img:images/States2017/TIMSS/TIMSS_4thGr_2007_47.png},{img:images/States2017/TIMSS/TIMSS_4thGr_2007_48.png},{img:images/States2017/TIMSS/TIMSS_4thGr_2007_49.png},Which of these animals is most likely to live in the desert?,4,science,Test
B,TIMSS_2007_4_pg106,Powders 1 and 2 only,Powders 1 and 3 only,Powders 2 and 3 only,"Powders 1, 2 and 3",{img:images/States2017/TIMSS/TIMSS_4thGr_2007_51.png} The pictures above show three different powders seen through a magnifying lens. Which of these are most likely mixtures?,4,science,Test
C,TIMSS_2007_4_pg20,Voles eat grasshoppers and grass.,Grasshoppers eat grass and voles.,Snake eat voles.,Snakes eat grass.,{img:images/States2017/TIMSS/TIMSS_4thGr_2007_5.png} Which statement about the food chain shown above is correct?,4,science,Test
B,TIMSS_2007_4_pg25,trees and fire,fire and river,river and seeds,seeds and trees,Look at the four pictures. {img:images/States2017/TIMSS/TIMSS_4thGr_2007_7.png} Which pictures show non-living things?,4,science,Test
A,TIMSS_2007_4_pg31,X is lighter than Y or Z.,X is heavier than Y or Z.,X is lighter than Y and heavier than Z.,X is heavier than Y and lighter than Z.,"Tom has three objects that are the same shape and size. Tome puts the three objects in a beaker of water. He observes that X floats, but Y and Z both sink. {img:images/States2017/TIMSS/TIMSS_4thGr_2007_10.png} What can he tell about the weight of object X compared to Y and Z?",4,science,Test
